block 32, total 13728, active 13706, size 340, leak 4660040.
block 1000, total 33000, active 13810, size 12, leak 165720.
block 32, total 13696, active 13693, size 340, leak 4655620.
block 1000, total 33000, active 13810, size 12, leak 165720.
block 32, total 13696, active 13693, size 340, leak 4655620.
block 1000, total 33000, active 13810, size 12, leak 165720.
block 32, total 13696, active 13693, size 340, leak 4655620.
block 1000, total 33000, active 13810, size 12, leak 165720.
block 32, total 13696, active 13694, size 340, leak 4655960.
block 1000, total 33000, active 13854, size 12, leak 166248.
block 200, total 2600, active 1658, size 48, leak 79584.
block 200, total 3200, active 1866, size 48, leak 89568.
block 32, total 13728, active 13718, size 340, leak 4664120.
block 1000, total 33000, active 13822, size 12, leak 165864.
block 32, total 13728, active 13720, size 340, leak 4664800.
block 1000, total 33000, active 13836, size 12, leak 166032.
block 32, total 13728, active 13707, size 340, leak 4660380.
block 1000, total 34000, active 14384, size 12, leak 172608.
block 32, total 13728, active 13722, size 340, leak 4665480.
block 1000, total 33000, active 13864, size 12, leak 166368.
block 32, total 13728, active 13707, size 340, leak 4660380.
block 1000, total 33000, active 13864, size 12, leak 166368.
block 32, total 14176, active 14156, size 340, leak 4813040.
block 1000, total 34000, active 15100, size 12, leak 181200.
block 32, total 14208, active 14200, size 340, leak 4828000.
block 1000, total 33000, active 13818, size 12, leak 165816.
block 32, total 14176, active 14153, size 340, leak 4812020.
block 1000, total 33000, active 14032, size 12, leak 168384.
block 32, total 14176, active 14174, size 340, leak 4819160.
block 1000, total 33000, active 13954, size 12, leak 167448.
block 32, total 14176, active 14173, size 340, leak 4818820.
block 1000, total 33000, active 13919, size 12, leak 167028.
block 32, total 14208, active 14191, size 340, leak 4824940.
block 1000, total 33000, active 13926, size 12, leak 167112.
block 32, total 14176, active 14154, size 340, leak 4812360.
block 1000, total 33000, active 13862, size 12, leak 166344.
block 32, total 14176, active 14155, size 340, leak 4812700.
block 1000, total 33000, active 13857, size 12, leak 166284.
block 32, total 14176, active 14156, size 340, leak 4813040.
block 1000, total 33000, active 13842, size 12, leak 166104.
block 32, total 14176, active 14156, size 340, leak 4813040.
block 1000, total 33000, active 13845, size 12, leak 166140.
block 32, total 14176, active 14156, size 340, leak 4813040.
block 1000, total 33000, active 13854, size 12, leak 166248.
block 32, total 14176, active 14163, size 340, leak 4815420.
block 1000, total 33000, active 14180, size 12, leak 170160.
block 200, total 2400, active 1477, size 48, leak 70896.
block 32, total 14176, active 14156, size 340, leak 4813040.
block 1000, total 33000, active 13924, size 12, leak 167088.
block 32, total 14176, active 14156, size 340, leak 4813040.
block 1000, total 33000, active 13870, size 12, leak 166440.
block 32, total 14176, active 14156, size 340, leak 4813040.
block 1000, total 33000, active 13850, size 12, leak 166200.
block 32, total 14176, active 14156, size 340, leak 4813040.
block 1000, total 33000, active 13846, size 12, leak 166152.
block 32, total 14176, active 14156, size 340, leak 4813040.
block 1000, total 33000, active 14074, size 12, leak 168888.
block 32, total 14208, active 14185, size 340, leak 4822900.
block 1000, total 33000, active 14008, size 12, leak 168096.
block 32, total 14176, active 14171, size 340, leak 4818140.
block 1000, total 33000, active 13902, size 12, leak 166824.
block 32, total 14176, active 14155, size 340, leak 4812700.
block 1000, total 33000, active 14066, size 12, leak 168792.
block 32, total 14176, active 14157, size 340, leak 4813380.
block 1000, total 33000, active 13870, size 12, leak 166440.
block 32, total 14176, active 14156, size 340, leak 4813040.
block 1000, total 33000, active 13866, size 12, leak 166392.
block 32, total 14176, active 14156, size 340, leak 4813040.
block 1000, total 33000, active 13862, size 12, leak 166344.
block 32, total 14176, active 14158, size 340, leak 4813720.
block 1000, total 33000, active 13862, size 12, leak 166344.
block 32, total 14176, active 14155, size 340, leak 4812700.
block 1000, total 33000, active 13894, size 12, leak 166728.
block 32, total 14176, active 14155, size 340, leak 4812700.
block 1000, total 33000, active 13864, size 12, leak 166368.
block 32, total 14176, active 14156, size 340, leak 4813040.
block 1000, total 33000, active 13947, size 12, leak 167364.
